Breed,Potato,Milk,Milk_Stg1_10,Fish,Cup_Jelly,Meat,Tablet
Ape,Dislike,Like,Like,Dislike,Neutral,Like,Neutral
Arrowhead,Dislike,Neutral,Like,Like,Neutral,Dislike,Like
Bajarl,Dislike,Neutral,Like,Neutral,Neutral,Like,Like
Baku,Like,Like,Like,Like,Dislike,Like,Dislike
Beaclon,Like,Neutral,Like,Neutral,Like,Neutral,Like
Centaur,Neutral,Neutral,Like,Dislike,Like,Like,Like
Colorpandora,Like,Like,Like,Neutral,Like,Neutral,Like
Dragon,Dislike,Dislike,Like,Neutral,Neutral,Like,Neutral
Ducken,Like,Like,Like,Like,Like,Like,Like
Durahan,Dislike,Dislike,Like,Neutral,Neutral,Like,Like
Gaboo,Dislike,Like,Like,Neutral,Like,Neutral,Like
Gali,Dislike,Dislike,Like,Neutral,Like,Like,Like
Ghost,Dislike,Like,Like,Neutral,Like,Neutral,Neutral
Golem,Dislike,Neutral,Like,Like,Dislike,Like,Like
Hare,Dislike,Like,Like,Like,Neutral,Neutral,Like
Henger,Neutral,Neutral,Like,Neutral,Neutral,Like,Like
Hopper,Dislike,Like,Like,Neutral,Neutral,Like,Neutral
Jell,Dislike,Neutral,Like,Like,Dislike,Neutral,Like
Jill,Neutral,Dislike,Like,Like,Dislike,Like,Neutral
Joker,Dislike,Dislike,Like,Dislike,Neutral,Like,Dislike
Kato,Dislike,Dislike,Like,Like,Dislike,Neutral,Like
Metalner,Neutral,Neutral,Like,Neutral,Like,Neutral,Neutral
Mew,Dislike,Like,Like,Like,Neutral,Neutral,Neutral
Mocchi,Dislike,Neutral,Like,Like,Neutral,Neutral,Neutral
Mock,Neutral,Like,Like,Neutral,Like,Neutral,Neutral
Monol,Dislike,Neutral,Like,Neutral,Dislike,Like,Like
Naga,Dislike,Dislike,Like,Like,Neutral,Dislike,Neutral
Niton,Dislike,Neutral,Like,Like,Neutral,Like,Neutral
Phoenix,Dislike,Dislike,Like,Like,Neutral,Like,Neutral
Pixie,Dislike,Dislike,Like,Like,Like,Dislike,Neutral
Plant,Neutral,Like,Like,Like,Neutral,Dislike,Like
Suezo,Dislike,Neutral,Like,Neutral,Like,Like,Neutral
Tiger,Dislike,Neutral,Like,Neutral,Neutral,Like,Like
Undine,Dislike,Neutral,Like,Like,Like,Dislike,Dislike
Worm,Neutral,Like,Like,Dislike,Like,Dislike,Like
Wracky,Dislike,Neutral,Like,Dislike,Neutral,Like,Neutral
Zilla,Dislike,Neutral,Like,Like,Unknown,Like,Neutral
Zuum,Unknown,Unknown,Like,Unknown,Unknown,Unknown,Unknown
